company_name,company_url,company_website_url,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
Learning Ray Pte Ltd,https://e27.co/startups/learning-ray-pte-ltd/,http://www.learningray.com/,,,,,,,,,,
GigSplash,https://e27.co/startups/gigsplash/,http://www.gigsplash.com/,Philippines,"Entertainment, Enterprise Solution, Information & Communications Technology",2015-09-01,,,http://www.twitter.com/gigsplashhttp://www.facebook.com/gigsplashcom,,,"GigSplash is an online booking platform where one can find and book artists, musicians, entertainers and hosts. Registration is free and artists can create ","GigSplash is an online booking platform where one can find and book artists, musicians, entertainers and hosts. Registration is free and artists can create their own portals so event hosts and venues such as restaurants and bars can find and book them for gigs.

A large majority of artists such as musicians, singers, hosts and entertainers find it difficult to find gigs due to limited resources, lack of industry connections and poor management. As a result they don’t reach their full earning potential and their quality of life does not improve. Some artists even undercut themselves just to get much needed gigs.

GigSplash bridges the gap between artists and venues through an online portal where artists can showcase their talents to potential employers in the Philippines and abroad. The site makes it easy for both parties to negotiate a fair price for the artists’ services. Payments are secured so artists can focus on good performance.

This is a first in the country and based on informal surveys local artists love the idea and hope to become early adopters of the technology. Touted as the UBER of gigs, it relies on the popularity of on-demand service emerging in different verticals. The platform will not replace the traditional manager-artist relationships but will supplement it.

They want to help the Pinoy Music community by providing the easiest and fastest way to book gigs for them through their site -- the first online booking portal in the Philippines. They provide a platform that could help them market their talents and skills."
Kaligo,https://e27.co/startups/kaligo/,http://www.kaligo.com/,Singapore,"Consumer, E-commerce, Travel, Information & Communications Technology",,,86,http://www.twitter.com/kaligohotelshttps://www.facebook.com/kaligohotelshttps://www.linkedin.com/company/3756360?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3756360%2Cidx%3A1-1-1%2CtarId%3A1438585331361%2Ctas%3Akaligo,,,"Kaligo.com is the world's most rewarding way to book hotels online!

Enjoy a huge s","Kaligo.com is the world's most rewarding way to book hotels online!

Enjoy a huge selection, find great rates, and earn free flights & upgrades in a heartbeat! They partner with all your favourite frequent flyer and credit card programs so you can earn thousands of points or miles on each hotel stay. Their customers make them their single stop for booking hotels, whether it’s for business or pleasure.

From their inception, Kaligo has been synonymous with incredible value, beautiful design and exceptional personalisation. Their management team combines rich expertise across offline and online travel agencies, airlines, the loyalty space, and data-driven marketing.

Kaligo.com is operated by Kaligo Private Limited, incorporated in Singapore and registered with the Accounting and Corporate Reguatory Authority of Singapore."
Nexar,https://e27.co/startups/nexar/,https://www.getnexar.com/,Israel,"Mobile, Software as a Service, Agency & Consulting, Information & Communications Technology",,,,http://www.twitter.com/getnexarhttps://www.facebook.com/getnexarhttps://www.linkedin.com/company/nexar,,,"Nexar is a young technology startup coming right out of the vibrant city of Tel Aviv, Israel. Founded by veteran internet entrepreneurs and backed by fantastic investors, they are on a mission to upg","Nexar is a young technology startup coming right out of the vibrant city of Tel Aviv, Israel. Founded by veteran internet entrepreneurs and backed by fantastic investors, they are on a mission to upgrade driving to the 21st century. With over 1.5 million traffic deaths happening every year, each fatality touching families and friends, they think their society can do much better. They can do better. That’s why they are on mission with Nexar to bring connected driving to the world: with their technology and the help of all drivers on the road, they can make driving safer together.

Founded by veteran internet entrepreneurs and backed by fantastic investors, they are on a mission to upgrade driving to the 21st century.
With over 1.5 million traffic deaths happening every year, each fatality touching families and friends, they think our society can do much better. That’s why they are on mission with Nexar to bring connected driving to the world:with their technology and the help of all drivers on the road, they can make driving safer together.

Their goal at Nexar is to keep you safe while you drive, by providing you with insights and alerts about cars around you and by empowering you to provide feedback and alerts to other drivers on the road.They let you tap into the collective experience of a growing network of drivers, which will be your eyes and ears on the road.

What if they could tap into this driving knowledge they develop over their lives, learning what constitutes safe and unsafe behaviors on the road? What if they could have drivers cooperate building such knowledge repository? And what if they could have computers join in and also cooperate to learn from humans and predict danger, faster, and more accurately? In this hybrid community-driver-computer setup, they can help those drivers with either limited alertness, pattern matching or reflexes. Nexar does not take over driving, it brings the help of other drivers around, the smartphone and thousands"
Lazy Cookie,https://e27.co/startups/lazy-cookie/,http://hk.lazycookie.com/,Hong Kong,"Advertising, Education, Entertainment, Media, Information & Communications Technology",,,,http://www.twitter.com/VeryLazyCookiehttps://www.facebook.com/LazyCookie.HK,,,Lazycookie is a social news,"Lazycookie is a social news network built around highly viral stories, designed to reach targeted audiences through daily social media use.

In Hong Kong they provide great content in both english and traditional chinese to reflect the diversity of this great city they love."
FirstWinn,https://e27.co/startups/firstwinn/,https://firstwinn.com/en/home,Malaysia,,,,,,,,No ,No added Company description yet
Ingenico,https://e27.co/startups/ingenico/,http://www.ingenico.com/,France,"Enterprise Solution, Finance",,,,http://www.linkedin.com/shareArticle?mini=true&url=http://www.ingenico.com/about-ingenico-group/about-us/about-us,,,Ingenico Group has led the payment industry fo,"Ingenico Group has led the payment industry for more than 30 years to become the global leader in seamless payment. They provide smart, trusted and secure solutions to empower commerce across all channels: in-store, online and on mobile.

Today, with their products and services, merchants can accept any means of payment, from credit cards to alternative payment methods, be it in store, on line or on mobile and allow consumers to have a seamless payment experience."
Radium Box,https://e27.co/startups/radium-box/,https://radiumbox.com/,India,"Cybersecurity, E-commerce, Information & Communications Technology, Internet of Things, Software as a Service",2015-06-01,,9,http://www.twitter.com/Radium_Boxhttps://www.facebook.com/RadiumBox/https://www.linkedin.com/company/radiumbox,,,No ,No added Company description yet
Collab,https://e27.co/startups/collab/,https://collab.sg/,Singapore,"Artificial Intelligence, Human Resources, Software as a Service",2018-11-01,,1,http://www.twitter.com/collabsghttps://www.facebook.com/collabpartnershipshttps://www.linkedin.com/company/collabllc/,,,What started as a co-founder matching platf,"What started as a co-founder matching platform evolved into a full-fledge, HR solution for companies to solve their pressing issues with their teams. Through our proprietary algorithm, we help companies understand how compatible their teams are and how they further enhance their teams in employee engagement and cohesiveness. We help companies hire smart and hire the right candidates through a compatibility assessment, proven by data."
Resulticks,https://e27.co/startups/resulticks/,https://www.resulticks.com/,Thailand,"Big Data, Advertising",,,,http://www.twitter.com/Resultickshttps://www.facebook.com/resultickshttps://www.linkedin.com/company-beta/3832898/,,,Resulticks is a true omnichannel marketing automation platform built by marketers for marketers. Hosted on the Cloud with multi-lingual ca,"Resulticks is a true omnichannel marketing automation platform built by marketers for marketers. Hosted on the Cloud with multi-lingual capabilities, Resulticks is a marketing solution offering singular views of a brand, customer and marketing program from a global perspective, delivering targeted local impact.

It is designed to provide a common platform over which digital communications from a brand to its audiences can be managed, tracked and measured. In addition to managing marketing campaigns across email, mobile (in app, text), web, QR code, social media, sentiment monitoring, Resulticks also provides added value for multi-market, multi-channel models.

Developed from the ground-up as an integrated marketing automation platform, Resulticks is the output of a team comprising marketers, technologists, data scientists, usability experts and designers. As a result, what it delivers is not just pure marketing automation but also an integrated intelligence and analytics framework for brands to leverage the power of digital today.

Supporting the platform and empowering brands to leverage the full potential of Resulticks is a suite of service offerings ranging from strategic consulting to data services, enterprise systems integration as well as campaign management and creative services.

Resulticks is Big Data powered. Omichannel delivered. Results realized."
Tourist Visa Online E Visa Services,https://e27.co/startups/tourist-visa-online-e-visa-services/,https://www.touristvisaonline.com/,India,"Agency & Consulting, Travel",2010-04-01,,1,http://www.twitter.com/online_touristhttps://www.facebook.com/touristvisaonlinehttps://www.linkedin.com/company/touristvisaonline,,,Touristvisaonline started with an ambition of revolutionizing the online visa processi,"Touristvisaonline started with an ambition of revolutionizing the online visa processing industry with the implementation of sole idea of making our clients happy & satisfied throughout the process. The steps that we ensure are highly innovative and new in the segment. With this motive of ours, we have become a leading visa service provider globally within a very-short timeframe. What we guarantee from our side is the quickest processing & updating time along with assurance of error-free application, which takes your chances of visa approval to the next level. You can easily apply for visa by just providing some basic information and we would gather the remaining information from you while you relax at your home. Just take a few minutes to provide us your visa requirements and we would be in touch with you shortly and would assist you along the process."
Megamind,https://e27.co/startups/megamind/,,Bangladesh,"Agritech, Automotive, Enterprise Solution, Food & Beverage, Healthtech, Social Enterprise, Information & Communications Technology",2014-05-01,,,,,,We are currently working as a team to brainstorm social as well as corporate world,"We are currently working as a team to brainstorm social as well as corporate world problems. Then we find out how the problem can be solved by using mobile application or website. We developed the idea and tested it by concerning users to get a feedback. After we launch the product to the market. We've developed ""Smart doctor"" app to remote monitor health condition of poor people of Bangladesh. ""Fleet management"" for managing fleet problem. It is a software based fleet management system.""Medbee""medicine directory & ""Blood bank"" for emergency blood seekers. We are working on ""FarmFresh"" agriculture product direct sell platform for farmers in Bangladesh to remove middle man. We have young and experienced combination in our team to meet all the challenges. We also have foreign mentors to guide us. That's all. Thank you."
Ingogo,https://e27.co/startups/ingogo/,http://www.ingogo.com.au/,Australia,"Mobile, Software as a Service, Transportation, Travel",2011-09-01,,44,http://www.twitter.com/IngogoSocialhttps://www.facebook.com/ingogohttps://www.linkedin.com/company/ingogo,,,"Ingogo is a taxi app for hailing a taxi now or booking one for later.

ingogo revolutionises taxi travel.

ONLY ingogo puts you in direct co","Ingogo is a taxi app for hailing a taxi now or booking one for later.

ingogo revolutionises taxi travel.

ONLY ingogo puts you in direct contact with the nearest licensed & authorised taxi driver to you so you can get from a - b, quickly, safely and easily.

- Request a fully licensed & authorised taxi driver on your iPhone or Android Phone.
- Set an optional premium response time
- Get real time updates of your drivers location
- Complete the trip and pay fast with your ingogo payment code, physical credit card or ingogo Corporate account (New)

What this means for you:
- No more standing in the rain!
- No more stressing and guessing if the taxi is on the way.
- No more calling a busy call centre that doesn't guarantee your taxi.
- No more calling back because the cab didn't arrive or took another job and the dispatch centre didn't tell you.
- No more walking blocks to a taxi rank or fighting for cabs on the street.
- Savings on the typical fees and charges

ONLY ingogo safely connects passengers directly with fully authorised & licensed taxi drivers. These drivers are equipped with a dedicated ingogo device to communicate with you. All drivers are validated to ensure they meet strict transport legislative requirements, are tracked by GPS for your personal safety and to trace any lost property. With ingogo you can be sure that the taxi that arrives is a real driver, unlike other apps."
Jetspree,https://e27.co/startups/jetspree/,https://www.jetspree.com/,Malaysia,E-commerce,,,,https://www.facebook.com/jetspreemalaysia,,,Jetspree is a cross-border shopping platform which connects buyers,"Jetspree is a cross-border shopping platform which connects buyers with travelers to purchase items from anywhere around the world. This will allow you to have access to many different popular brands and products that are offered overseas but not available in Malaysia. We provide you a safe and convenient cross-border shopping platform by moderating transactions between shoppers and travelers.

Jetspree has more than 50,000 product selections from various product categories. This includes duty-free products, electronics, fashion, health and beauty, luxury products, food and snacks and more. We are constantly expanding our product range with the latest products."
Oneflare,https://e27.co/startups/oneflare/,https://www.oneflare.com.au/,Australia,"Consumer, E-commerce, Agency & Consulting, Information & Communications Technology",2012-02-01,,84,http://www.twitter.com/Oneflarehttp://www.facebook.com/oneflarehttps://www.linkedin.com/company/oneflare-pty-ltd,,,"Oneflare is a new online startup that connects customers with home services providers.

Oneflare challenges the traditional Yellow Pages model by creating a revolutionary online marketplace. This mar","Oneflare is a new online startup that connects customers with home services providers.

Oneflare challenges the traditional Yellow Pages model by creating a revolutionary online marketplace. This marketplace eliminates the need for customers to search for tradies and tradies to search for customers.

With Oneflare, all it takes is one stop to get any job done. Entrepreneur and Co-founder Tommy Lim explains, ‘Our aim is to make hiring a service provider as easy as booking a flight on Expedia.’

Oneflare tips the process of looking for a service provider on its head. Requesting a service is effortless and free. Customers complete a simple form detailing the job then sit back and relax while Oneflare does the finding. Oneflare’s unique matching technology alerts relevant businesses of each request, allowing them to submit competing price quotes for the job. Quotes are then pre-filtered and presented to the customer, ensuring that the only work the customer has to do is make the buying decision.

Launched in January 2012, Oneflare’s innovative offering has driven drastic growth. Oneflare features 40,000 businesses spanning 40 categories throughout Australia. 90% of requests posted receive 3 or more competing quotes which leaves extra cash in happy customers’ pockets. With most quotes appearing within 15 minutes, Oneflare also puts free time back into busy customers’ schedules. Oneflare’s winning combination has generated over $5 million worth of jobs to date.

While saving time and money is exciting, 69% of customers have stated that reputation comes before price when hiring tradies (Newspoll Survey sourced by Oneflare). Oneflare has implemented an assortment of trust and safety features to ensure that customers always find a quality service provider. Reviews and ratings by previous customers coupled with business profiles featuring photos, testimonials and verification create an open community on the platform. Oneflare’s Home Care Guarantee also covers customers up to"
Expibotz Technologies,https://e27.co/startups/expibotz-technologies/,http://www.expibotz.com/,India,"Agency & Consulting, Design , Mobile, Software as a Service, Information & Communications Technology",2012-12-01,,,http://www.twitter.com/expibotzhttp://www.facebook.com/expibotzhttps://www.linkedin.com/grp/home?gid=4774966,,,"ExPiBotz Technologies provides best services in various fields. They concentrate on Web solutions, Mobile solutions, Soft","ExPiBotz Technologies provides best services in various fields. They concentrate on Web solutions, Mobile solutions, Software consultation and many more services which can create something revolutionary.

ExPiBotz is established on November 1st 2012 at Startup Village, Kinfra Hi Tech Park, Kalamassery - Kochi. They started with several innovative projects and started developing software, mobile applications, and websites and found clients to create a well-established business in Indian and International Market.

On March 14th 2013, new office at Technopark has started its working in terms of the incubation process that is offered by ICFOSS. The incubation was successful in all means.

They look forward to play their role in enhancing life in the modern world by developing new products and software to create a better future. As a firm found on the firm foundation of an answer to the question Why? rather than How? or What?. They visualize a future where Information Technology, Electronics and Communication-based core services provided by themselves will make the world a better and happier place to live.

They strive to commit themselves to constant improvement based on changing market dynamics."
Calltracking,https://e27.co/startups/calltracking/,http://www.calltracking.hk/,,Consumer Web,,,,,,,CallTrac,CallTracking is Hong Kong's first (and only) phone call tracking and analytics platform.
Real Estate Sales LLC,https://e27.co/startups/real-estate-sales-llc/,https://www.realestatesalesllc.com/real-estate/real-estate-sales-llc-voted-top-3-business-to-start-in-2018/,United States of America,,,,,http://www.twitter.com/RealEstateSale9,,,"At Real Estate Sales, LLC, we’re in ","At Real Estate Sales, LLC, we’re in the business of equipping our clients with what they need to succeed.We create opportunity through a combination of reliable tools, resources, and deep understanding on commercial real estate properties in today’s market. Find relevant information, meet the right people, and make the deals that are critical to your success."
Ideal Engineers,https://e27.co/startups/ideal-engineers/,http://idealengineers.net/,India,,,,,,,,"We, Ideal Engineers established in the year","We, Ideal Engineers established in the year 2018 at Pune, Maharashtra,
We are involved as the Manufacturer of Earthing Pipe, Earthing Electrode, Lightning Arrester and other products.
These products are highly demanded for their high performance, reliable functioning, and longer service life. We are offering these products in customized options also as per the requirements of our clients. All our offered products are quality assured."
Rakhi Gifts to USA,https://e27.co/startups/rakhi-gifts-to-usa/,http://www.rakhigiftstousa.com/,United States of America,,,,,,,,,
Prominentt Games,https://e27.co/startups/prominentt-games/,https://www.prominenttgames.com/,United States of America,"Entertainment, Gaming",,,,http://www.twitter.com/prominenttgameshttps://www.facebook.com/ProminenttGameshttps://www.linkedin.com/company/ProminenttGames,,,First-of-its-kind Prominentt Games offer a robust and entertaini,"First-of-its-kind Prominentt Games offer a robust and entertaining game including frequently hitting bonuses and wins, free games with retriggers, four-level progressives, multi-game options, bonus prize. At Prominentt Games will show its progressive offering, which can be configured for unique progressives. You’ll get relaxing, traditional skill to high-resolution, action-packed games to 3D-adventurous games. We might not be the biggest in the world, but we’ve certainly found the very best in a skill game, offering you a collection of games. If you want something very entertaining then we recommend you check out our wide range of games."
Grounded Work,https://e27.co/startups/grounded-work/,http://grounded.work/,Singapore,,,,,,,,No ,No added Company description yet
Avetics Global,https://e27.co/startups/avetics-global/,http://www.avetics.com/,Singapore,"Consumer, Robotics, Information & Communications Technology",,,,http://www.twitter.com/Aveticshttps://www.facebook.com/Avetics/info?tab=overview,,,Avetics Global aerial services saves,"Avetics Global aerial services saves out clients money by replacing expensive methods such as scaffolding for inspection and Lidar scanner for survey.

www.exmaps.com helps drone users worldwide plan preventive maintenance and share flight information by helping users keep track of their drone flights. Automated features include weather data, map and address."
Travelstop,https://e27.co/startups/travelstop/,http://travelstop.com/,Singapore,"Software as a Service, Travel",,,,,,,Travelstop is a revolutionary platform aimed a,"Travelstop is a revolutionary platform aimed at modernising and simplifying business travel.

Travelstop is a SaaS platform that helps employees manage their business travel and expense management workflows.

We're a passionate team of problem solvers with significant experience in building scalable consumer travel and mobile platforms. Our team brings together expertise across product, design, and engineering from companies including Yahoo!, HomeAway and Expedia."
DropStore,https://e27.co/startups/dropstore/,http://www.dropstore.my/,Malaysia,E-commerce,2017-10-01,,,http://www.facebook.com/dropstore.my,,,DropStore is not a breakthrough or early technology adopters.,"DropStore is not a breakthrough or early technology adopters. DropStore is a platform that help online seller to have their own e-commerce website.

DropStore is a Software-as-a-service multi-tenant e-commerce website platform. Imagine building each website to many online seller out there would be massive.

DropStore makes this task simple, just in few minutes the website is ready. The e-commerce website will have features like inventory management, order management, customer database, payment gateway, invoice generator, postage tracking, social media integration, sales channel, marketplace integration."
Media Loyal,https://e27.co/startups/media-loyal/,http://www.medialoyal.com/,Singapore,"Enterprise Solution, Finance, Gaming, Software as a Service",,,,,,,"THEY CARE ABOUT PAYMENTS!
Their management team consists of serial entrepreneurs with expertise","THEY CARE ABOUT PAYMENTS!
Their management team consists of serial entrepreneurs with expertise in web, mobile, and financial services. They have held executive roles for huge companies around the globe.

Their team strives to push the future of payments
by partnering with loyalty providers globally, going into a new era of mobile-enhanced payments.

Media Loyal was developed to bridge the gap between loyalty providers and their utilization in various digital products industry. They partnered with various loyalty providers and big brands to enable their customers to purchase digital products by simply using their loyalty cards.

With Media Loyal, your customers can charge their purchases directly to their mobile bill using just their mobile number. In fact, they will likely be able to pay with just one tap. No credit card info. No bank accounts. No registration. The result? The easiest checkout experience for them. And more sales for you."
Jobseeker,https://e27.co/startups/jobseeker/,http://www.jobseeker.com.au/,Singapore,"Advertising, Human Resources, Information & Communications Technology",,,,http://www.twitter.com/jorajobshttps://www.facebook.com/Jobseeker,,,"Jobseeker.com.au is an Australia-based search engine for jobs.
","Jobseeker.com.au is an Australia-based search engine for jobs.

Jobseeker has strong market positions in Australia, New Zealand, Vietnam and Singapore with a growing presence in India, United States and the UK.

Founded by Cuong Hoang in 2007 jobseeker has a candidate first philosophy and has developed deep expertise in delivering candidates great job content every time by better understanding local market conditions and user intent.

Still in start-up phase Jobseeker is transitioning towards new pay for performance models targeted at corporate HR.

Jobseeker is now Jora! They're still the biggest job engine in Australia, though!"
Microsoft R&D,https://e27.co/startups/microsoft-r-d/,http://www.microsoft.com/,United States of America,"E-commerce, Entertainment, Hardware, Mobile, Software as a Service",,,172899,http://www.twitter.com/microsoftphhttps://www.facebook.com/MicrosoftPhilippines?fref=tshttps://www.linkedin.com/company/microsoft,,,"Microsoft is an American multinational corporation that develops, manufactures, licenses, supports and sells computer software, consumer electronics and personal computers and servi","Microsoft is an American multinational corporation that develops, manufactures, licenses, supports and sells computer software, consumer electronics and personal computers and services. Its best known software products are the Microsoft Windows line of operating systems, Microsoft Office office suite, and Internet Explorer web browser. Its flagship hardware products are Xbox game console and the Microsoft Surface series of tablets.

Headquartered in Redmond, Washington, Microsoft is the world's largest software company in terms of revenue. It is also considered one of the world's most valuable companies and one of the most successful startup companies of all time by market capitalization, revenue, growth and cultural impact.

Microsoft was founded by Bill Gates and Paul Allen on April 4, 1975, to develop and sell BASIC interpreters for the Altair 8800 microcomputer. The original name, """"Micro-Soft,"""" was from a combination of """"microcomputer"""" and """"software.""""

In 1980, the company formed a partnership with IBM, allowing Microsoft to sell its software package with the computers IBM manufactured. It rose to dominate the personal computer operating system market with MS-DOS, followed by Microsoft Windows.

Since the 1990s, it has increasingly diversified from the operating system market and ventured into hardware such as the Zune, a digital media player for music, videos, podcasts, and pictures; Xbox, a video game console; and Surface, a series of tablets. It has also made a presence on the web with the MSN internet portal and Bing search engine.

Microsoft has also made a number of corporate acquisitions, including Forethought, [HotMail](company/hotmail-2), and Visio Corporation. In May 2011, Microsoft acquired Skype Technologies for $8.5 billion in its largest acquisition to date."
Meditech Solution,https://e27.co/startups/meditech-solution/,http://meditechsolution.com/,Singapore,"Consumer, Advertising, Medtech",2009-02-01,,6,http://www.twitter.com/wmmeditechsltdhttps://www.linkedin.com/company/meditech-solutions,,,MediTech Solutions provides essential disposab,"MediTech Solutions provides essential disposable medical & labware supplies and medical lab equipments from the most recognized manufacturers at competitive pricing.

Some of their product lines include infusion supplies, surgical sutures , medical catheters , and various shaped syringes in addition to general disposable laboratory supplies – Plastic/glass Labware, Dewar flasks, bottles, specimen containers, syringes, petri dishes, tubes, tips, vials, and more."
SEO India for U Services,https://e27.co/startups/seo-india-for-u-services/,http://www.seoindia4u.com/,India,"Agency & Consulting, Advertising, Information & Communications Technology",,,15,https://www.facebook.com/seoindia4userviceshttp://www.linkedin.com/company/seo-india-for-u-services,,,SEO India for U Services is a leading professional Search Engine Marketing compa,"SEO India for U Services is a leading professional Search Engine Marketing company for the E-Business Industry. SEO Services India has an excellent team of experienced SEO Specialists, Online Advertisement & Internet Marketing Experts and Link Building Experts. Their specialists are a fully integrated team, able to be your one-stop-shop for all of your internet marketing needs. They can develop strategies and build a good visitor's traffic to your website.

Whether you use your website to directly sell products or to simply promote your services, if you do not have top search rankings on search engines such as Google, Yahoo and MSN, the number of missed sales opportunities can be significant. By partnering with SEO India for U Services you can improve your website rankings and grow your business."
Overlay,https://e27.co/startups/overlay/,https://www.overlay.sg/,Singapore,,,,,,,,Overlay Technologies enables a sustainable,"Overlay Technologies enables a sustainable knowledge enterprise through a mobile interactive platform for capturing, storing and sharing expert knowledge that is highly scalable and accessible on demand.

Overlay is working on the state-of-the-art computer vision techniques to bring the most advanced augmented reality experience to the industry, driving swift and tangible improvements in cost, efficiency and productivity."
Go-Land,https://e27.co/startups/go-land/,http://go-land.org/,Indonesia,"Enterprise Solution, Real Estate",2016-04-01,,,,,,Market,"Marketplace for worldwide land owner to buy, sale, rent or pawn."
BellaDati,https://e27.co/startups/belladati/,http://www.belladati.com/,Singapore,"Big Data, Mobile, Software as a Service, Agency & Consulting, Information & Communications Technology",,,12,http://www.twitter.com/BellaDatihttp://www.facebook.com/belladatihttp://www.linkedin.com/company/belladati,,,BellaDati is producer of an agile analytic and reporting BIG DATA tool that reinvents the way how business users interact with,"BellaDati is producer of an agile analytic and reporting BIG DATA tool that reinvents the way how business users interact with business data. BellaDati turns your sales,marketing,operational and financial data into visualized reports and dashboards in it’s own data warehouse. All you need is web browser or mobile device.

BellaDati is complete agile data analytics tool in the hands of business user. Pure web-technology based. Empower business users to turn virtually any-size and type of data into profits. Their products are BellaDati Agile BI, Analytics Apps, Mobile BI & Data Platform.

Their famous customers are RedBull, Korean Telecom, New World Resources and other companies from retail, market research, insurance, manufacturing or hospitality services.

BellaDati is a product of TRGIMAN, an enterprise web software integrator established in Prague, Czech Republic in 2006 by Martin Trgina. TRGIMAN customers include Sun Microsystems, NewWorldResources, GEMoneyBank and Prague Municipality. Today, the company specializes in the development and delivery of the BellaDati solution. BellaDati is now distributed globally by our network of partners in Asia, the EU and the Americas. We invite you to join the BellaDati global data DJs partner network."
Bloomigo,https://e27.co/startups/bloomigo/,http://bloomigo.in/,India,"Agency & Consulting, Big Data, Design , Information & Communications Technology",,,1,http://www.twitter.com/bloomigo_inhttps://www.facebook.com/bloomigohttps://www.linkedin.com/company/bloomigo-in,,,Bloomigo helps people to make better career decisions by doing pr,"Bloomigo helps people to make better career decisions by doing predictive analysis on career paths already taken by different people and their experiences

People are unaware about their potential career opportunities due to lack of information. Hence, they tend to make random career decisions. They believe in solving this problem by Content
(generated via alumni interaction ) Data analytics of career paths already taken.

At Bloomigo, they bring out real life career experiences to their users. Through data analytics they are in a position to quantify career choices, manoeuvre patterns, and skill set importance. They seldom believe in grapevines."
EasyShiksha,https://e27.co/startups/easyshiksha/,https://easyshiksha.com/,United States of America,,2012-10-01,,,http://www.twitter.com/easy_shikshahttp://www.facebook.com/EasyShikshaIndia,,,No ,No added Company description yet
Amazinghind,https://e27.co/startups/amazinghind/,http://amazinghind.com/,China,"Design , E-commerce, Retail, Information & Communications Technology",2012-05-01,,4,http://www.twitter.com/AmazingHindhttps://www.facebook.com/AmazingHind/infohttps://www.linkedin.com/company/4811431?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A4811431%2Cidx%3A1-1-1%2CtarId%3A1446114002920%2Ctas%3AAmazinghind,,,Amazing Hind is a online store of authentic Indian products sourced from every state of Indi,"Amazing Hind is a online store of authentic Indian products sourced from every state of India. They bring to you a platform to shop for unique Indian products such as artifacts, handmade items, jewellary, textiles and more that bring out rich Indian culture and it's heritage. All products are sourced from artists who have inherited craft over generations and hence each product is 100% authentic. No product picture on website or facebook page is photo shopped. You get what you see.

AmazingHind is an endeavor to reconnect you to the forgotten heritage of each one of us by providing easy access to your favourite products from different cultures across India through an amazing online store. You can shop for authentic local specialities from famous places in India across categories like Crafts, Weaves, Edibles & Personal care like Kashmir's rugs, Manipur's Black Pottery, Kashmir's Paper Mache, Kashmiri Saffron etc."
StashAway,https://e27.co/startups/stashaway/,https://www.stashaway.sg/,Singapore,,2016-10-01,,49,http://www.facebook.com/StashAwayAPAC/http://www.linkedin.com/company/stashaway,,,"Leveraging advanced technology to enhance investing strategies, we deliver low-cost, intelligent, and personalised investing ser","Leveraging advanced technology to enhance investing strategies, we deliver low-cost, intelligent, and personalised investing services to financially empower individuals in Singapore.

Supported by prominent advisors in Singapore, the StashAway team is committed to providing investment advice and customer experience of the highest quality. Our team is composed of fund managers, developers, and engineers from Southeast Asia and Europe with deep experience working for CitiGroup, Merrill Lynch, Goldman Sachs, UBS, and hedge funds, amongst others.

StashAway is led by its three founders, Michele Ferrario, former CEO of ZALORA Group; Freddy Lim, former Global Head of Derivatives Strategy for Nomura; and Nino Ulsamer, founder of several technology companies around the world. The company was founded in Singapore in 2016 with the ambition of expanding to other fast-growing APAC markets as soon as 2018.

StashAway recently secured a S$4.08m funding, S$780k of which is seed by the co-founders and a few angels, and S$3.3m from pre-series A, led by Francis Rozario.

Rozario is a banking veteran who spent 28 years at Citibank and previously headed Temasek Holdings’ financial services subsidiary, Fullerton Financial Holdings, for eight years, will join StashAway’s board of directors."
FinChat Technology,https://e27.co/startups/finchat-technology/,http://finchat.tech/,Singapore,Enterprise Solution,,,,,,,They offer the full spectrum of Compliance ,"They offer the full spectrum of Compliance monitoring & archiving tools for messaging in regulated industries for instance financial institutions. This allows employees to engage clients through client's favorite messaging apps ( WhatsApp, WeChat, LINE, Skype and more ) while staying audit-compliant.

Finchat offers web-based and mobile-based compliance tools where business chats are monitored while private chats remain private."
Merchant Cash USA,https://e27.co/startups/merchant-cash-usa/,https://merchcash.com/,United States of America,"Finance, Information & Communications Technology",,,,http://www.twitter.com/Merchcashhttps://www.facebook.com/Merchant-Cash-USA-935864939779660/,,,Merchant Cash USA provides capital to,"Merchant Cash USA provides capital to businesses to expand and grow their operations. Their goal is to bring fast, reliable and dependable service.

Their employees are trained to pay attention to prospective and current clients. They know that every customer is unique and requires specific needs. They structure financial solutions that make sense and offer flexibility."
Innovax Systems,https://e27.co/startups/innovax-systems/,http://www.innovax.com.sg/,Singapore,"Mobile, Enterprise Solution, Agency & Consulting, Information & Communications Technology",,,20,http://www.twitter.com/innovaxhttps://www.facebook.com/pages/Innovax-Systems-Pte-Ltd/266157382226?sk=timelinehttps://www.linkedin.com/company/innovax-systems-pte-ltd,,,Innovax Systems is a leading provider of systems development and integration of end to end integrat,"Innovax Systems is a leading provider of systems development and integration of end to end integrated contact center solutions and web-based applications.

Headquartered in Singapore, Innovax Systems has offices and partners throughout Asia. Innovax System’s solutions include computer telephony integration (CTI), multi-channel contact center management, customer relationship management (CRM), e-procurement, backend enterprise system integration and mobile internet platform solutions.

With over ten years of experience in the contact centre industry, Innovax Systems has evolved into the preferred service provider with state-of-the-art technological products.

Combined with a versatility to suit our customers’ business requirements, their own excellence in deployment, support and service have further empowered their clients toward achieving their own corporate goals. Alongside their customers’ own values of customer satisfaction, their technology has enabled them to win numerous awards."
